date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:47	5802/5802	---M--	200	added ('OK')	image/png	etag:%2298db43ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/cfg.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/cfg.png	(from http://www.beisbolcubano.cu/general/calendario)
15:09:47	183736/183736	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:20%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=cfg	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equiposeee8.html	(from http://www.beisbolcubano.cu/general/calendario)
15:09:47	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:23%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=vcl	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.2005bc.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:47	251944/251944	---M--	200	added ('OK')	image/png	etag:%22fcd7d6c0ccd61:0%22	http://www.beisbolcubano.cu/images/estilos/snb60_c.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/estilos/snb60_c.png	(from http://www.beisbolcubano.cu/general/calendario)
15:09:50	183737/183737	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:23%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=vcl	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos05bc.html	(from http://www.beisbolcubano.cu/general/calendario)
15:09:50	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:26%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=ssp	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.23675a.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:50	14273/14273	---M--	200	added ('OK')	image/png	etag:%226c4cb6ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/vcl.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/vcl.png	(from http://www.beisbolcubano.cu/general/calendario)
15:09:53	183742/183742	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:26%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=ssp	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos675a.html	(from http://www.beisbolcubano.cu/general/calendario)
15:09:53	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:29%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=cav	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.26ab30.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:53	10332/10332	---M--	200	added ('OK')	image/png	etag:%22a860aaec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/ssp.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/ssp.png	(from http://www.beisbolcubano.cu/general/calendario)
15:09:56	183740/183740	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:29%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=cav	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equiposab30.html	(from http://www.beisbolcubano.cu/general/calendario)
15:09:56	7681/7681	---M--	200	added ('OK')	image/png	etag:%2273153fec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/cav.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/cav.png	(from http://www.beisbolcubano.cu/general/calendario)
15:09:56	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:32%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=cmg	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.296486.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:59	4429/4429	---M--	200	added ('OK')	image/png	etag:%22f79f48ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/cmg.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/cmg.png	(from http://www.beisbolcubano.cu/general/calendario)
15:09:59	183735/183735	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:32%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=cmg	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos6486.html	(from http://www.beisbolcubano.cu/general/calendario)
15:09:59	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:35%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=ltu	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.2c9553.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:10:02	11972/11972	---M--	200	added ('OK')	image/png	etag:%22c8ec75ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/ltu.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/ltu.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:02	183735/183735	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:35%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=ltu	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos9553.html	(from http://www.beisbolcubano.cu/general/calendario)
15:10:02	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:38%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=hol	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.2f8349.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:10:05	183734/183734	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:38%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=hol	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos8349.html	(from http://www.beisbolcubano.cu/general/calendario)
15:10:05	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:40%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=gra	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.32b870.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:10:05	10699/10699	---M--	200	added ('OK')	image/png	etag:%2227767fec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/hol.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/hol.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:08	183732/183732	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:41%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=gra	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equiposb870.html	(from http://www.beisbolcubano.cu/general/calendario)
15:10:08	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:43%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=scu	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.35d2da.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:10:08	12984/12984	---M--	200	added ('OK')	image/png	etag:%22bc2852ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/gra.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/gra.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:11	183742/183742	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:43%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=scu	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equiposd2da.html	(from http://www.beisbolcubano.cu/general/calendario)
15:10:11	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:47%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=gtm	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.38f1cd.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:10:11	11576/11576	---M--	200	added ('OK')	image/png	etag:%22efe9b3ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/scu.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/scu.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:14	11038/11038	---M--	200	added ('OK')	image/png	etag:%2224ee56ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/gtm.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/gtm.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:14	183737/183737	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:47%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=gtm	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equiposf1cd.html	(from http://www.beisbolcubano.cu/general/calendario)
15:10:15	0/-1	---M--	301	error ('')			http://www.beisbolcubano.cu/general/calendario.aspx	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/calendario.3d.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:10:16	2316/2316	---M--	200	added ('OK')	image/png	etag:%22abbbe10c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/pri.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/pri.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:16	2471/2471	---M--	200	added ('OK')	image/png	etag:%224d33a610c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/ijv.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/ijv.png	(from http://www.beisbolcubano.cu/general/calendario)
15:10:17	2533/2533	---M--	200	added ('OK')	image/png	etag:%2253c07110c0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/24%20x%2024/art.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/24%20x%2024/art.png	(from http://www.beisbolcubano.cu/general/calendario)
